concept,drawing_count
rattle,40
tie,36
rifle,35
cup,35
dumpster,35
rubber_band,35
nest,35
boomerang,34
water_heater,34
place_mat,34
knitting,34
plate,34
gravy,33
bandage,32
insole,31
fishing_pole,31
tree_trunk,31
belt_buckle,30
table,30
jukebox,30
potpie,30
mouse1,30
water_bottle,29
drain,29
noodle,29
hammer,29
coconut,29
tulip,29
sweeper,28
crepe,28
sling,28
cufflink,28
oyster,28
desk,28
gravestone,28
goggles,27
clipboard,27
highchair,27
printer,27
pillow,27
hairpin,27
cookie,27
magnifying_glass,27
cardigan,27
pen,26
washcloth,26
air_mattress,26
recorder,26
bird,26
ironing_board,26
wind_chimes,26
peeler,26
hula_hoop,26
salami,26
walker1,26
shrimp,26
coaster,26
filing_cabinet,26
mongoose,26
egg_roll,26
elbow,25
sardine,25
camcorder,25
teabag,25
grapefruit,25
footprint,25
coral,25
strawberry,25
jelly_bean,25
macaroni,25
traffic_light,25
mussel,25
cage,25
thread,25
whale,25
scale,25
tank1,25
kimono,25
shoe,25
thermometer,25
wrapping_paper,25
dreidel,25
scraper,25
possum,24
loincloth,24
stirrup,24
paper_plate,24
glasses,24
teapot,24
corkscrew,24
lamppost,24
peanut,24
mouth,24
toaster,24
dough,24
hail,24
grain,24
highlighter,24
racket,24
sleeping_bag,24
clock,24
syrup,24
coffin,24
bell,24
cereal,24
spear,24
gauze,24
almond,24
cardinal,24
eel,24
hinge,24
ribbon,24
sweatsuit,24
parking_meter,24
exhaust_pipe,24
poker,24
comb,24
sickle,24
tool,24
teacup,24
scooter,24
lawnmower,24
cello,24
drum,23
costume,23
sweater,23
slide,23
puddle,23
shopping_cart,23
nail_clippers,23
detonator,23
chalkboard,23
tuxedo,23
football,23
pencil_sharpener,23
kazoo,23
cart,23
blazer,23
nail_file,23
mixer,23
machine_gun,23
backpack,23
marshmallow,23
taillight,23
sandbag,23
sink,23
fast_food,23
ice_cube,23
margarita,23
paper_bag,23
moth,23
waffle_iron,23
saxophone,23
beetle,23
stem,23
handcuff,23
bagpipe,23
bed,23
straightjacket,23
mousse,23
speedometer,23
headdress,23
camera_lens,23
guacamole,23
fishnet_stockings,23
record,23
tea,22
film,22
starfish,22
turnstile,22
letter_opener,22
granite,22
hummus,22
minivan,22
car_seat,22
nacho,22
racehorse,22
payphone,22
sledgehammer,22
wheelbarrow,22
solar_panel,22
food_processor,22
bathrobe,22
locket,22
gas_mask,22
boa,22
pita,22
seaweed,22
hairdryer,22
scissors,22
bowtie,22
ear,22
dragonfly,22
football_helmet,22
tortellini,22
banjo,22
pinecone,22
rolling_pin,22
prune,22
stump,22
spout,22
trashcan,22
swordfish,22
tennis_ball,22
chain,22
birdbath,22
rhubarb,22
glue,22
scallop,22
pigeon,22
candlestick,22
purse,22
painting,22
handprint,22
lock,22
mast,21
canvas,21
enchilada,21
bulldozer,21
chive,21
dandelion,21
horse,21
pantsuit,21
doghouse,21
bok_choy,21
toucan,21
tape_recorder,21
syringe,21
card,21
trigger,21
extinguisher,21
cutting_board,21
hourglass,21
block,21
windshield,21
squash,21
gravel,21
humvee,21
towel,21
cable,21
tripod,21
gourd,21
harness,21
hubcap,21
cigarette_holder,21
mustache,21
screen2,21
polygraph,21
sawhorse,21
dart,21
siren,21
ravioli,21
ottoman,21
panther,21
stove2,21
quiche,21
gem,21
pendulum,21
airbag,21
lip_gloss,21
bow3,21
incense,21
calculator,21
scrabble,21
hotdog,21
bee,21
taxi,21
bean,21
trailer,21
ferris_wheel,21
piggy_bank,21
espresso,21
umbrella,21
ice-cream_cone,21
stingray,20
diaper,20
dynamite,20
paper,20
fishbowl,20
totem_pole,20
dryer,20
nut,20
pajamas,20
bank,20
machete,20
kneepad,20
shorts,20
dogfood,20
wand,20
pot,20
ashtray,20
gel,20
shoulder,20
owl,20
whistle,20
crayfish,20
sandcastle,20
urn,20
tablecloth,20
octopus,20
chickpea,20
curtain,20
cougar,20
jigsaw_puzzle,20
pedometer,20
cord,20
rice,20
chin,20
magnet,20
panties,20
slipper,20
chandelier,20
holster,20
leg,20
tackle,20
rocking_horse,20
counter,20
videogame,20
goalpost,20
smoothie,20
drink,20
handlebar,20
pecan,20
doll,20
altar,20
tostada,20
pliers,20
toaster_oven,20
firecracker,20
badger,20
bear,20
gear,20
dial,20
trapdoor,20
roller_coaster,20
harmonica,20
pill,20
beehive,20
sauerkraut,20
paperclip,20
trombone,20
apron,20
leek,20
thorn,20
balance_beam,20
refrigerator,20
turtle,20
ivy,20
cleaver,20
swab,20
radiator,19
tupperware,19
chest1,19
outfit,19
beachball,19
projector,19
parsley,19
sidecar,19
padlock,19
train_car,19
crowbar,19
flatiron,19
flamingo,19
flan,19
pothole,19
grille,19
hearse,19
sausage,19
bologna,19
plant,19
seatbelt,19
pepper_mill,19
toast,19
grill,19
nightstand,19
cabinet,19
goldfish,19
briefcase,19
llama,19
wrap,19
periscope,19
pacifier,19
branch,19
headlamp,19
clipper1,19
blowfish,19
polo_shirt,19
drill,19
grape,19
nail_polish,19
orchid,19
scaffold,19
bra,19
candy,19
chinchilla,19
dice,19
straw2,19
staple,19
hatchet,19
hairnet,19
ice_cream,19
hockey_stick,19
carrot,19
cornbread,19
hotplate,19
coffee_bean,19
powder,19
pillbox,19
exerciser,19
squirt_gun,19
coyote,19
arugula,19
banana_peel,19
tamale,19
stethoscope,19
diving_board,19
papaya,19
computer,19
mailbox,19
clove,19
footrest,19
motorcycle,19
outlet,19
sewing_kit,19
sonogram,19
jug,19
wrench,18
bathmat,18
corkboard,18
poodle,18
hand,18
police_car,18
rudder,18
blueberry,18
accordion,18
berry,18
baby,18
mosquito_net,18
nutcracker,18
kale,18
missile,18
board_game,18
carousel,18
makeup,18
green_beans,18
porthole,18
penlight,18
saucer,18
candy_cane,18
container,18
eyeliner,18
tongue,18
spider_web,18
stapler,18
orange,18
grinder,18
pear,18
pallet,18
strainer,18
ice_pack,18
piecrust,18
maggot,18
praying_mantis,18
headset,18
bottle,18
blind,18
beaver,18
latch,18
elephant,18
basketball_hoop,18
creme_brulee,18
yak,18
warthog,18
aardvark,18
butter,18
casserole,18
sunglasses,18
washboard,18
spring_roll,18
arm,18
xylophone,18
cookie_sheet,18
sand,18
ferret,18
crouton,18
mold2,18
sarcophagus,18
saltshaker,18
rocking_chair,18
pea,18
lava,18
luggage,18
rope,18
chalice,18
chick,18
sea_urchin,18
wig,18
pin,18
sewing_machine,18
tumbleweed,18
beanie,18
spatula,18
gorilla,18
phone_booth,18
razor,18
flashlight,18
tinsel,18
birthday_cake,18
omelet,18
cocktail,18
bandanna,18
filter,18
shaker,18
van,18
swing,18
baton2,18
window,17
wetsuit,17
globe,17
headphones,17
baton4,17
router,17
dumbbell,17
whip,17
cheeseburger,17
bomb,17
airplane,17
book,17
pony,17
tricycle,17
milkshake,17
microphone,17
brace,17
chainsaw,17
ring,17
toothpaste,17
dagger,17
tugboat,17
deodorant,17
lighter,17
man,17
car,17
wine_bottle,17
gondola,17
vulture,17
ostrich,17
perfume,17
tube_top,17
cocoon,17
gingerbread_man,17
pistachio,17
plug,17
arrow,17
bead,17
mouse2,17
snack,17
scoop,17
bamboo,17
cornhusk,17
crane,17
laptop,17
gyro,17
stair,17
cake_mix,17
eraser,17
garter,17
paddle,17
bongo,17
volleyball,17
rollerblade,17
cupcake,17
kitten,17
tapestry,17
tarantula,17
grits,17
fudge,17
basketball,17
groundhog,17
noose,17
chopsticks,17
engine,17
flower,17
candle,17
salad,17
milk,17
