concept,trial_index,rt,time_elapsed,pointer_device,familiar
aardvark,2,35052,62318,fine,false
aardvark,2,86967,200638,fine,true
aardvark,2,40493,72572,fine,false
accordion,2,30462,37710,fine,true
accordion,2,105696,147959,fine,true
air_conditioner,2,37120,340396,fine,true
air_conditioner,2,28330,44687,fine,true
air_conditioner,2,77066,130356,fine,true
air_mattress,2,45038,58890,fine,true
air_mattress,2,24622,41569,fine,true
air_mattress,2,197518,1079166,fine,true
alpaca,2,68081,738610,fine,true
alpaca,2,43411,75650,fine,true
alpaca,2,76586,98572,fine,false
anteater,2,48818,53826,fine,true
anteater,2,91079,113778,fine,true
anteater,2,24757,31568,fine,true
anvil,2,242397,1214513,fine,true
apple_tree,2,28994,40487,fine,true
applesauce,2,79718,117683,fine,true
arch,2,10416,267780,fine,true
arch,2,22966,84558,fine,true
arugula,2,56828,119858,fine,true
arugula,2,50832,1450841,fine,true
arugula,2,37055,62916,fine,false
arugula,2,114339,259255,fine,true
ashtray,2,22830,38266,fine,true
ashtray,2,60263,85780,fine,true
ashtray,2,201343,228649,fine,true
ashtray,2,48402,80766,fine,true
avocado,2,13922,34668,fine,true
axe,2,29261,46304,fine,true
backpack,2,73341,108253,fine,true
backpack,2,125875,153057,fine,true
backpack,2,41220,73718,fine,true
bagpipe,2,58159,1543455,fine,false
bagpipe,2,17866,80485,coarse,true
bagpipe,2,35086,158078,fine,true
bagpipe,2,32381,369061,fine,true
banana,2,43818,87922,fine,true
banjo,2,459846,483182,fine,true
banjo,2,54325,92983,fine,true
banjo,2,13436,219044,fine,true
baseball_glove,2,27904,45074,fine,true
baseball_glove,2,13391,27428,fine,true
bat2,2,16521,80901,fine,true
bat2,2,23646,80536,fine,true
bat2,2,15617,67060,fine,false
bat2,2,34965,50338,fine,true
bathtub,2,216628,251081,fine,true
bathtub,2,17571,57174,fine,true
bathtub,2,50289,56972,fine,true
bathtub,2,34133,54202,fine,true
bathtub,2,48344,74833,fine,true
bathtub,2,57101,75997,fine,true
bathtub,2,5775,11750,fine,true
bathtub,2,29057,41144,fine,false
