trial_index,avg_reaction_time
2,60914.97914929107
4,53384.33250414594
6,51572.046721311475
8,48540.565181518155
10,47527.408637873756
12,45312.77983193277
14,44550.46335299073
16,43680.7539223782
18,44546.653333333335
20,44675.41876046901
22,44218.85595337219
24,42776.06065711879
26,41364.91289782245
28,40406.60729431722
30,39500.91365131579
32,39727.08900083963
34,39442.13146734521
36,40216.3552742616
38,37704.697301854976
40,38889.257766582705
42,38381.32407407407
44,39108.336726039015
46,37865.179155900085
48,39554.85861182519
